idx,text,matched_place,confidence,center_x,center_y,width,height,norm_center_x,norm_center_y,polygon_xy
9,난지천공원,난지천공원,0.6873942374058936,61.0,119.0,68.0,20.0,0.07625,0.16234652114597545,"[[27.0, 109.0], [95.0, 109.0], [95.0, 129.0], [27.0, 129.0]]"
14,광화문광장,광화문광장,0.6647674414561168,747.0,123.0,68.0,20.0,0.93375,0.16780354706684858,"[[713.0, 113.0], [781.0, 113.0], [781.0, 133.0], [713.0, 133.0]]"
17,덕수궁,덕수궁,0.965543803274187,696.0,169.0,42.0,20.0,0.87,0.2305593451568895,"[[675.0, 159.0], [717.0, 159.0], [717.0, 179.0], [675.0, 179.0]]"
18,마포구청역,마포구청역,0.9970957029366296,269.0,187.0,68.0,20.0,0.33625,0.2551159618008186,"[[235.0, 177.0], [303.0, 177.0], [303.0, 197.0], [235.0, 197.0]]"
72,'마포대교,마포대교,0.4290785218595994,475.0,419.0,61.7197265625,57.38494873046875,0.59375,0.5716234652114598,"[[444.1401328392153, 428.19427896235214], [493.06562653937226, 390.3075343198205], [505.8598671607847, 410.80572103764786], [456.93437346062774, 447.6924656801795]]"
27,충정로역,충정로역,0.9901980757713318,646.0,247.0,54.0,20.0,0.8075,0.3369713506139154,"[[619.0, 237.0], [673.0, 237.0], [673.0, 257.0], [619.0, 257.0]]"
71,양화대교,양화대교,0.9974759817123413,243.0,347.0,58.30767822265625,61.514892578125,0.30375,0.4733969986357435,"[[213.84615384615384, 356.2307692307692], [256.1817578957375, 316.2425649099458], [272.15384615384613, 337.7692307692308], [229.8182421042625, 377.7574350900542]]"
41,당산역,당산역,0.9863622214746023,212.0,409.0,42.0,20.0,0.265,0.557980900409277,"[[191.0, 399.0], [233.0, 399.0], [233.0, 419.0], [191.0, 419.0]]"
42,국회의사당,국회의사당,0.9999009456970585,250.0,437.0,66.0,20.0,0.3125,0.5961800818553888,"[[217.0, 427.0], [283.0, 427.0], [283.0, 447.0], [217.0, 447.0]]"
45,63빌딩,63빌딩,0.9900505542755127,466.0,501.0,42.0,20.0,0.5825,0.6834924965893588,"[[445.0, 491.0], [487.0, 491.0], [487.0, 511.0], [445.0, 511.0]]"
